City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
241,Carutapera,BR,4/24/21 19:34,-1.195,-46.02,80.47,81,100,5.48
242,Yulara,AU,4/24/21 19:36,-25.2406,130.9889,51.8,62,35,6.91
243,Coromandel,BR,4/24/21 19:36,-18.4733,-47.2003,80.46,26,0,5.86
244,Morondava,MG,4/24/21 19:36,-20.2833,44.2833,77.79,80,0,10.63
245,Byron Bay,AU,4/24/21 19:36,-28.65,153.6167,55,93,84,4.83
246,Palu,ID,4/24/21 19:36,-0.8917,119.8707,75.11,94,78,3.38
247,Guarapari,BR,4/24/21 19:36,-20.6667,-40.4975,78.8,69,20,11.5
248,Deputatskiy,RU,4/24/21 19:36,69.3,139.9,10.33,83,100,3.27
249,Esil,KZ,4/24/21 19:36,51.9556,66.4042,47.7,39,100,18.5
250,Tambacounda,SN,4/24/21 19:36,13.7539,-13.7586,102.2,9,0,4.61
251,Astorga,BR,4/24/21 19:36,-23.2325,-51.6656,82.4,44,20,9.22
252,Bintulu,MY,4/24/21 19:35,3.1667,113.0333,78.8,94,40,4.7
253,Caravelas,BR,4/24/21 19:36,-17.7125,-39.2481,77.31,78,64,5.77
254,Dera Bugti,PK,4/24/21 19:36,29.0307,69.151,80.29,23,0,3.04
255,Lebu,CL,4/24/21 19:34,-37.6167,-73.65,57.16,71,0,16.91
256,Hearst,CA,4/24/21 19:36,49.6835,-83.6665,26.6,80,100,9.22
257,Coos Bay,US,4/24/21 19:33,43.3665,-124.2179,55.4,76,90,8.05
258,Acarau,BR,4/24/21 19:36,-2.8856,-40.12,80.82,82,96,14.63
259,College,US,4/24/21 19:35,64.8569,-147.8028,51.8,32,20,0.78
260,Juneau,US,4/24/21 19:35,58.3019,-134.4197,53.6,35,20,9.22
261,Prince George,CA,4/24/21 19:36,53.9166,-122.753,48.99,25,1,13.8
262,San Patricio,US,4/24/21 19:36,28.017,-97.5169,96.8,11,1,16.11
263,Casselman,CA,4/24/21 19:36,45.3168,-75.0826,66.2,26,68,6.91
264,Tuatapere,NZ,4/24/21 19:36,-46.1333,167.6833,46.99,91,100,5.01
