City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
104,Nanortalik,GL,2021-04-25 18:37:55,60.1432,-45.2371,42.53,72,100,14.14,overcast clouds
105,Victoria,HK,2021-04-25 18:35:47,22.2855,114.1577,73.0,92,100,1.01,overcast clouds
106,Pevek,RU,2021-04-25 18:32:56,69.7008,170.3133,19.53,94,100,11.27,light snow
107,Neuquen,AR,2021-04-25 18:37:56,-38.9516,-68.0591,68.0,45,0,11.5,clear sky
108,Port Blair,IN,2021-04-25 18:36:16,11.6667,92.75,82.06,72,96,4.92,overcast clouds
109,Malanje,AO,2021-04-25 18:37:57,-9.5402,16.341,65.91,86,11,2.73,few clouds
110,Horta,PT,2021-04-25 18:37:57,38.5333,-28.6333,64.4,72,20,10.36,few clouds
111,Salalah,OM,2021-04-25 18:33:50,17.0151,54.0924,84.2,70,40,8.05,scattered clouds
112,Sonoita,MX,2021-04-25 18:37:57,31.85,-112.8333,84.99,12,8,5.01,clear sky
113,Jayanca,PE,2021-04-25 18:37:58,-6.3908,-79.8219,78.8,57,0,13.8,clear sky
114,Kyshtovka,RU,2021-04-25 18:37:58,56.555,76.6271,41.9,62,100,7.78,overcast clouds
115,Kaitangata,NZ,2021-04-25 18:33:27,-46.2817,169.8464,37.0,77,68,1.99,light rain
116,Hambantota,LK,2021-04-25 18:37:59,6.1241,81.1185,78.8,100,75,5.64,broken clouds
117,Bredasdorp,ZA,2021-04-25 18:37:59,-34.5322,20.0403,55.4,94,100,1.14,overcast clouds
118,Talara,PE,2021-04-25 18:33:15,-4.5772,-81.2719,82.4,57,0,11.5,clear sky
119,Arlington,US,2021-04-25 18:36:33,32.7357,-97.1081,79.0,53,20,14.97,few clouds
120,Pisco,PE,2021-04-25 18:33:42,-13.7,-76.2167,70.0,83,75,9.22,broken clouds
121,Sabang,ID,2021-04-25 18:34:30,5.8933,95.3214,82.11,75,87,11.54,overcast clouds
122,Bereda,ES,2021-04-25 18:37:57,43.2686,-7.5406,59.0,100,100,5.01,moderate rain
123,Ayan,RU,2021-04-25 18:38:01,56.45,138.1667,20.82,84,14,5.37,few clouds
124,Bubaque,GW,2021-04-25 18:38:01,11.2833,-15.8333,78.44,68,57,19.3,broken clouds
125,Lienz,AT,2021-04-25 18:38:01,46.8289,12.769,57.2,24,40,5.53,scattered clouds
126,Asau,RO,2021-04-25 18:38:02,46.4333,26.4,48.0,37,36,5.95,scattered clouds
127,Chernoyerkovskaya,RU,2021-04-25 18:38:02,45.4331,37.7686,46.4,81,40,15.66,light rain
128,Bellview,US,2021-04-25 18:38:03,30.4616,-87.315,79.0,44,1,10.36,clear sky
129,Mayo,US,2021-04-25 18:33:53,38.8876,-76.5119,64.0,55,75,16.11,broken clouds
130,Olafsvik,IS,2021-04-25 18:33:04,64.8945,-23.7142,43.99,85,16,7.14,few clouds
131,Bonthe,SL,2021-04-25 18:38:03,7.5264,-12.505,82.58,71,52,7.58,light rain
132,Hobart,AU,2021-04-25 18:35:37,-42.8794,147.3294,57.2,58,40,14.97,scattered clouds
133,Axim,GH,2021-04-25 18:38:04,4.8699,-2.2405,80.74,81,100,5.57,overcast clouds
134,Sorland,NO,2021-04-25 18:38:04,67.667,12.6934,37.4,70,75,8.05,broken clouds
135,Iqaluit,CA,2021-04-25 18:38:05,63.7506,-68.5145,33.8,86,90,3.44,overcast clouds
136,Raga,SS,2021-04-25 18:38:05,8.4596,25.678,72.64,89,100,11.07,moderate rain
137,Qaanaaq,GL,2021-04-25 18:38:06,77.484,-69.3632,31.46,73,43,4.27,scattered clouds
138,Bethel,US,2021-04-25 18:38:06,41.3712,-73.414,55.4,67,90,8.05,overcast clouds
139,Dingle,PH,2021-04-25 18:38:06,10.9995,122.6711,76.14,85,33,2.95,light rain
140,Constitucion,CL,2021-04-25 18:34:03,-35.3333,-72.4167,65.48,59,3,14.5,clear sky
141,Alyangula,AU,2021-04-25 18:33:48,-13.8483,136.4192,77.0,100,90,9.91,overcast clouds
142,Lavrentiya,RU,2021-04-25 18:38:07,65.5833,-171.0,25.05,84,95,2.06,overcast clouds
143,Taltal,CL,2021-04-25 18:36:09,-25.4,-70.4833,64.98,76,44,4.7,scattered clouds
144,Puttur,IN,2021-04-25 18:38:08,12.7667,75.2167,84.2,79,40,4.61,light rain
145,Hofn,IS,2021-04-25 18:38:08,64.2539,-15.2082,42.24,91,100,10.6,overcast clouds
146,Lebu,CL,2021-04-25 18:36:07,-37.6167,-73.65,60.15,75,0,13.15,clear sky
147,Westport,US,2021-04-25 18:34:34,41.1415,-73.3579,55.99,71,90,10.36,overcast clouds
